sensor;moisture;r1;r2;c1;frequency;duty_cycle;measurement_wet;stabilization_time_wet;success_wet;measurement_dry;stabilization_time_dry;success_dry;difference;stabilization_time_avg
PNNP;0;10;100000000;2e-12;200;34;745;500;0;1118;500;0;373;500,0
PNNP;0;10;100000000;2e-12;200;55;810;500;0;1200;500;0;390;500,0
PNNP;0;10;100000000;2e-12;200;89;919;500;0;1307;500;0;388;500,0
PNNP;0;10;100000000;2e-12;200;128;1106;500;0;1500;500;0;394;500,0
PNNP;0;10;100000000;2e-12;200;255;1723;500;0;2071;500;0;348;500,0
PNNP;0;10;100000000;2e-12;400;1;486;500;0;722;500;0;236;500,0
PNNP;0;10;100000000;2e-12;400;2;737;500;0;1031;500;0;294;500,0
PNNP;0;10;100000000;2e-12;400;3;870;500;0;1190;500;0;320;500,0
PNNP;0;10;100000000;2e-12;400;5;965;500;0;1219;500;0;254;500,0
PNNP;0;10;100000000;2e-12;400;8;1036;500;0;1317;500;0;281;500,0
PNNP;0;10;100000000;2e-12;400;13;1087;500;0;1359;500;0;272;500,0
PNNP;0;10;100000000;2e-12;400;21;1144;500;0;1441;500;0;297;500,0
PNNP;0;10;100000000;2e-12;400;34;1215;500;0;1480;500;0;265;500,0
PNNP;0;10;100000000;2e-12;400;55;1294;500;0;1571;500;0;277;500,0
PNNP;0;10;100000000;2e-12;400;89;1387;500;0;1748;500;0;361;500,0
PNNP;0;10;100000000;2e-12;400;128;1521;500;0;1914;500;0;393;500,0
PNNP;0;10;100000000;2e-12;400;255;1946;500;0;2397;500;0;451;500,0
PNNP;0;10;100000000;2e-12;800;1;656;500;0;799;500;0;143;500,0
PNNP;0;10;100000000;2e-12;800;2;886;500;0;1209;500;0;323;500,0
PNNP;0;10;100000000;2e-12;800;3;1061;500;0;1354;500;0;293;500,0
PNNP;0;10;100000000;2e-12;800;5;1280;500;0;1563;500;0;283;500,0
PNNP;0;10;100000000;2e-12;800;8;1369;500;0;1631;500;0;262;500,0
PNNP;0;10;100000000;2e-12;800;13;1494;500;0;1731;500;0;237;500,0
PNNP;0;10;100000000;2e-12;800;21;1564;500;0;1805;500;0;241;500,0
PNNP;0;10;100000000;2e-12;800;34;1655;500;0;1872;500;0;217;500,0
PNNP;0;10;100000000;2e-12;800;55;1703;500;0;1942;500;0;239;500,0
PNNP;0;10;100000000;2e-12;800;89;1633;500;0;2023;500;0;390;500,0
PNNP;0;10;100000000;2e-12;800;128;1906;500;0;2138;500;0;232;500,0
PNNP;0;10;100000000;2e-12;800;255;2175;500;0;2522;500;0;347;500,0
PNNP;0;10;100000000;2e-12;1600;1;1069;500;0;1185;500;0;116;500,0
PNNP;0;10;100000000;2e-12;1600;2;1302;500;0;1585;500;0;283;500,0
PNNP;0;10;100000000;2e-12;1600;3;1446;500;0;1699;500;0;253;500,0
PNNP;0;10;100000000;2e-12;1600;5;1645;500;0;1851;500;0;206;500,0
PNNP;0;10;100000000;2e-12;1600;8;1734;500;0;1923;500;0;189;500,0
PNNP;0;10;100000000;2e-12;1600;13;1833;500;0;2015;500;0;182;500,0
PNNP;0;10;100000000;2e-12;1600;21;1905;500;0;2079;500;0;174;500,0
PNNP;0;10;100000000;2e-12;1600;34;2024;500;0;2170;500;0;146;500,0
PNNP;0;10;100000000;2e-12;1600;55;2124;500;0;2276;500;0;152;500,0
PNNP;0;10;100000000;2e-12;1600;89;2349;500;0;2506;500;0;157;500,0
PNNP;0;10;100000000;2e-12;1600;128;2644;500;0;2686;500;0;42;500,0
PNNP;0;10;100000000;2e-12;1600;255;3368;500;0;3362;500;0;-6;500,0
PNNP;0;10;100000000;2e-12;3200;1;1117;500;0;1450;500;0;333;500,0
PNNP;0;10;100000000;2e-12;3200;2;1426;500;0;1708;500;0;282;500,0
